problem,max,factorable,context,index,prefix,switch,switch_index
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",0,"To factor the equation 3x^2 - 21x + 30 = 0, we can",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",1,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 ",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",2,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadr",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",3,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each f",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",4,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x ",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",5,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of th",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",6,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5",0,8
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",7,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2.",0,8
2x^2 - 10x + 8 = 0,5,True,"To factor the quadratic equation 2x^2 - 10x + 8 = 0, we look for two numbers that multiply to 2*8 = 16 and add up to -10. The numbers that satisfy these conditions are -2 and -8. 

Therefore, we can rewrite the equation as:

2x^2 - 10x + 8 = (2x + 2)(x - 4) = 0

Setting each factor to zero, we get:

2x + 2 = 0 or x - 4 = 0

Solving for x, we get:

2x = -2 or x = 4

x = -1 or x = 4

Therefore, the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are x = -1 and x = 4.",0,To factor the quadratic equation 2x^2 - 10x + 8 = ,0,10
2x^2 - 10x + 8 = 0,5,True,"To factor the quadratic equation 2x^2 - 10x + 8 = 0, we look for two numbers that multiply to 2*8 = 16 and add up to -10. The numbers that satisfy these conditions are -2 and -8. 

Therefore, we can rewrite the equation as:

2x^2 - 10x + 8 = (2x + 2)(x - 4) = 0

Setting each factor to zero, we get:

2x + 2 = 0 or x - 4 = 0

Solving for x, we get:

2x = -2 or x = 4

x = -1 or x = 4

Therefore, the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are x = -1 and x = 4.",1,"To factor the quadratic equation 2x^2 - 10x + 8 = 0, we look for two numbers that multiply to 2*8 = ",0,10
