problem,original,word_length,shift,context,correct,index,prefix,switch,switch_index
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,0,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the a",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depend",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,2,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a ",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,3,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), ",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,4,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,5,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,6,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the p",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,7,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,8,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> ",1,0
ibt,has,3,1,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
5- ibt -> d wo

None of these options result in a valid English word either. Therefore, we have to continue to try different shifts until we find a plausible solution.",0,9,"1. Bit
2. Bti
3. Tib
4. Tbi
5. Itb

Next, if the above aren't meaningful English words (which depends on the context, because ""tib"" for example, is a valid word in certain regional English variants), we can move on to investigating if this might be a Caesar cipher.

A Caesar cipher works by shifting the alphabetical position of each letter in the plaintext by a certain number of places. I'll begin with shifting the ciphertext 1 place:

1- ibt -> h as
2- ibt -> g zr
3- ibt -> f yq
4- ibt -> e xp
",1,0
